ID,Status,Priority,Patient Name,Phone,Category,Context,Draft Message,Doctor Edit,Final Message,Send Trigger
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,LOW,,,,,Select Category,,,FALSE
,,LOW,,,,,Select Category,,Select Category,FALSE
,,,,,,,Select Category,,,FALSE
,,,,,,,Select Category,,,FALSE
,,,,,,,Select Category,,,FALSE
,,,,,,,Select Category,,,FALSE
,,,,,,,Select Category,,,FALSE
,,,,,,,,,,FALSE
